accuracy,auc,predicted_labels,expected_labels,train_sets,test_sets,dummy_accuracy,dummy_auc,labels,n_labels,chance
0.64,0.9215058479532163,"['Bronze Back' 'Bronze Back' 'Pit Viper' 'Bronze Back' 'Pit Viper'
 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Bronze Back' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Bronze Back'
 'Pit Viper' 'Pit Viper' 'Bronze Back' 'Python' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Python']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Python' 'Python' 'Python' 'Python'
 'Python' 'Python']","[ 0  1  2  3  4  6  9 11 12 13 14 17 18 19 20 22 23 25 27 28 29 30 31 33
 34 35 36 37 39 41 42 43 44 46 47 48 50 51 52 54 55 57 58 59 61 62 63 64
 66 67 68 70 71 72 74 75 76 77 79 81 84 85 86 87 88 89 90 91 93 94 95 96]","[ 5  7  8 10 15 16 21 24 26 32 38 40 45 49 53 56 60 65 69 73 78 80 82 83
 92]",0.4,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.7619047619047619,0.945938717367289,"['Bronze Back' 'Bronze Back' 'Pit Viper' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Bronze Back' 'Python'
 'Pit Viper' 'Pit Viper' 'Python' 'Pit Viper' 'Python']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Python'
 'Python' 'Python' 'Python' 'Python' 'Python']","[ 0  1  3  4  6  7  9 11 12 13 14 15 16 17 19 20 21 22 23 24 27 28 29 30
 31 33 34 37 39 41 42 43 44 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61
 62 63 64 65 66 68 69 70 71 72 73 74 76 79 80 82 84 85 86 87 88 89 90 91
 92 93 95 96]",[ 2  5  8 10 18 25 26 32 35 36 38 40 45 51 67 75 77 78 81 83 94],0.38095238095238093,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.6521739130434783,0.8890392015392016,"['Pit Viper' 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper'
 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Bronze Back' 'Pit Viper'
 'Bronze Back' 'Bronze Back' 'Python' 'Pit Viper' 'Python' 'Pit Viper'
 'Python']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Python' 'Python' 'Python' 'Python' 'Python']","[ 1  2  3  4  6  7  8  9 11 12 13 14 15 16 18 19 21 23 24 25 27 28 29 30
 31 32 34 35 36 39 41 42 43 44 46 48 49 50 51 53 54 55 56 57 60 61 62 63
 64 65 66 67 68 69 71 73 75 76 77 79 80 81 82 83 84 85 87 89 90 91 92 93
 94 95]",[ 0  5 10 17 20 22 26 33 37 38 40 45 47 52 58 59 70 72 74 78 86 88 96],0.4782608695652174,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.6470588235294118,0.8035353535353535,"['Bronze Back' 'Pit Viper' 'Bronze Back' 'Pit Viper' 'Bronze Back'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Bronze Back' 'Pit Viper'
 'Python' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Python' 'Python']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Python' 'Python' 'Python' 'Python' 'Python' 'Python']","[ 0  1  2  3  4  5  7  8  9 10 11 13 14 15 16 17 20 21 22 24 25 26 27 28
 29 30 32 33 34 35 36 37 38 39 40 41 43 44 45 47 48 49 51 52 53 54 55 56
 57 58 59 60 61 63 65 66 67 68 69 70 71 72 73 75 76 78 80 81 82 83 84 86
 87 88 89 90 92 94 95 96]",[ 6 12 18 19 23 31 42 46 50 62 64 74 77 79 85 91 93],0.35294117647058826,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.5833333333333334,0.8220486111111112,"['Pit Viper' 'Bronze Back' 'Pit Viper' 'Bronze Back' 'Pit Viper'
 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Bronze Back' 'Python'
 'Pit Viper' 'Bronze Back' 'Python' 'Pit Viper' 'Python' 'Pit Viper'
 'Pit Viper' 'Bronze Back']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Python' 'Python' 'Python' 'Python' 'Python'
 'Python']","[ 1  5  6  7  8  9 10 11 12 14 15 17 18 19 20 21 23 24 26 28 29 30 31 32
 33 34 36 38 39 40 41 42 43 44 45 46 47 48 50 53 56 57 58 59 60 61 62 63
 64 65 66 67 69 70 71 73 74 76 77 78 79 80 81 83 85 86 87 89 91 92 93 94
 96]",[ 0  2  3  4 13 16 22 25 27 35 37 49 51 52 54 55 68 72 75 82 84 88 90 95],0.4166666666666667,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.4782608695652174,0.7253561253561255,"['Pit Viper' 'Pit Viper' 'Pit Viper' 'Bronze Back' 'Bronze Back'
 'Pit Viper' 'Python' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Python'
 'Python' 'Python' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Bronze Back']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Python' 'Python' 'Python' 'Python' 'Python']","[ 0  2  4  5  6  7  9 10 12 13 15 16 17 18 19 20 21 22 23 24 25 26 28 30
 31 33 35 36 37 38 40 42 44 45 46 47 49 50 51 52 53 55 56 58 59 60 62 64
 65 67 68 69 70 71 72 73 74 75 77 78 79 80 81 82 84 85 86 88 89 91 92 93
 94 96]",[ 1  3  8 11 14 27 29 32 34 39 41 43 48 54 57 61 63 66 76 83 87 90 95],0.5652173913043478,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.6666666666666666,0.835612323633157,"['Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Python' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Python' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Bronze Back' 'Python' 'Pit Viper' 'Pit Viper' 'Python' 'Python' 'Python']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Python' 'Python' 'Python' 'Python' 'Python'
 'Python']","[ 0  1  2  3  5  7  8  9 10 11 14 15 18 19 21 22 23 25 26 27 28 29 30 31
 32 34 35 36 37 38 39 40 41 42 43 44 45 47 48 50 51 52 54 56 57 59 60 61
 62 63 66 67 69 71 72 74 75 76 77 78 80 81 83 85 86 87 88 89 90 91 93 94
 95]",[ 4  6 12 13 16 17 20 24 33 46 49 53 55 58 64 65 68 70 73 79 82 84 92 96],0.4166666666666667,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.6086956521739131,0.7997294372294372,"['Pit Viper' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Pit Viper'
 'Bronze Back' 'Python' 'Python' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Bronze Back' 'Pit Viper'
 'Bronze Back' 'Python' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Python']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Python' 'Python' 'Python' 'Python' 'Python']","[ 1  2  3  4  5  7 10 11 13 14 15 16 17 18 19 20 21 23 25 26 27 28 29 31
 33 34 35 36 38 39 40 41 42 43 45 47 48 49 50 51 54 55 56 57 58 59 60 61
 62 63 66 67 68 69 70 74 75 76 77 78 80 81 82 84 85 86 87 89 90 91 93 94
 95 96]",[ 0  6  8  9 12 22 24 30 32 37 44 46 52 53 64 65 71 72 73 79 83 88 92],0.4782608695652174,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.56,0.8059869370395686,"['Pit Viper' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Pit Viper'
 'Python' 'Python' 'Python' 'Python' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Bronze Back' 'Pit Viper' 'Bronze Back' 'Python'
 'Bronze Back' 'Pit Viper' 'Python' 'Python' 'Pit Viper' 'Python' 'Python']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Python' 'Python' 'Python' 'Python'
 'Python']","[ 0  2  3  4  5  6  7  8 10 12 13 14 15 16 18 19 21 22 23 25 26 27 31 32
 34 35 36 37 38 39 40 42 45 46 47 48 49 50 51 52 54 55 56 57 59 60 62 63
 64 67 68 69 72 74 75 77 78 79 80 81 82 83 84 85 86 87 88 90 91 93 94 95]","[ 1  9 11 17 20 24 28 29 30 33 41 43 44 53 58 61 65 66 70 71 73 76 89 92
 96]",0.56,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
0.6,0.708994708994709,"['Pit Viper' 'Bronze Back' 'Pit Viper' 'Bronze Back' 'Bronze Back'
 'Pit Viper' 'Bronze Back' 'Python' 'Python' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Python' 'Pit Viper'
 'Bronze Back' 'Python' 'Pit Viper' 'Pit Viper' 'Python' 'Pit Viper'
 'Python' 'Pit Viper']","['Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back' 'Bronze Back'
 'Bronze Back' 'Bronze Back' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper'
 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Pit Viper' 'Python'
 'Python' 'Python' 'Python']","[ 0  2  3  5  6  7 10 12 14 15 16 17 18 19 20 21 22 24 25 26 27 28 33 34
 35 36 37 38 39 40 45 46 47 48 49 50 51 52 53 54 56 57 58 59 60 63 64 65
 67 69 70 72 73 74 75 77 78 79 80 81 82 86 87 88 89 90 91 92 93 94 95 96]","[ 1  4  8  9 11 13 23 29 30 31 32 41 42 43 44 55 61 62 66 68 71 76 83 84
 85]",0.56,0.5,['Bronze Back' 'Pit Viper' 'Python'],3,0.3333333333333333
