,order,FR,BS,GP,PR,PD,VO,TT,FV
count,24.0,24.0,24.0,24.0,24.0,24.0,21.0,24.0,3.0
mean,5.291666666666667,8.5,0.9583333333333334,59.07161107958333,100.04166666666667,162.0,5.285714285714286,134.23166666666665,0.06481724741193502
std,2.6123314036160954,9.264236987281885,1.082636342118332,13.512259701936774,60.07493810571757,49.734949657070175,9.225740388407086,104.27870004971278,0.08392615549676635
min,4.0,0.0,0.0,26.68559262,10.0,88.0,0.0,12.53,0.0
25%,4.0,3.0,0.0,50.451059619999995,68.0,122.5,0.0,61.23,0.017417411421174683
50%,4.0,5.5,1.0,61.093685565,76.0,157.0,1.0,94.95500000000001,0.034834822842349365
75%,4.0,9.75,1.25,71.0715612625,104.0,200.25,5.0,190.185,0.09722587111790254
max,11.0,35.0,4.0,79.72151899,250.0,250.0,30.0,386.0,0.1596169193934557
