,order,FR,BS,GP,PR,PD,VO,TT,FV
count,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
mean,13.444444444444445,1.8148148148148149,0.0,26.798647370444442,66.22222222222223,91.88888888888889,2.037037037037037,67.33962962962963,0.06757520931087072
std,1.1875421719907087,2.496721497007272,0.0,13.002225628908516,46.86915775558538,38.422082325876225,4.710720028921608,89.36381364019269,0.14966648828160234
min,12.0,0.0,0.0,7.651540245,0.0,35.0,0.0,5.87,0.0
25%,12.0,0.0,0.0,16.08285588,32.0,67.0,0.0,13.675,0.0
50%,13.0,1.0,0.0,27.20114531,65.0,81.0,0.0,32.54,0.0
75%,14.5,2.0,0.0,35.958659964999995,86.0,105.0,1.5,62.025000000000006,0.043144247886107365
max,15.0,9.0,0.0,50.93696763,185.0,187.0,20.0,324.43,0.6
