,order,FR,SS,BS,GP,PR,PD,VO,TT,FV
count,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,7.0
mean,5.217391304347826,2.4130434782608696,0.9782608695652174,0.9782608695652174,42.94531557395653,56.76086956521739,125.1304347826087,1.8043478260869565,48.18543478260869,0.05630227728090387
std,3.2517553787882414,3.6549879887720063,1.9030867374964238,1.6123017422965713,18.833159671976215,71.79854061735941,82.4816770752153,3.815870747970559,43.35901299135557,0.04895793599410729
min,1.0,0.0,0.0,0.0,6.865671642,0.0,13.0,0.0,4.87,0.0
25%,2.25,0.0,0.0,0.0,27.840854247499998,21.25,80.25,0.0,15.855,0.021611215140585924
50%,5.0,1.0,0.0,0.0,42.923611795,45.0,113.0,0.0,33.34,0.04759885478771374
75%,7.0,3.0,1.75,1.0,53.1475808775,63.5,160.0,2.75,65.37,0.08406457737824313
max,10.0,18.0,10.0,7.0,77.00072098,475.0,550.0,19.0,161.0,0.13516550114095519
